quantity,totalweight,ordercompletehour,profit,price,rating,customer_isbigaccount,order_submissiondate,order_completiondate,companyname_Kinross Gold Corporation,companyname_Kirkland Lake Gold Ltd.,companyname_Others,companyname_Taseko Mines Limited,companyname_Teck Resources Limited,companyname_Yamana Gold Inc.,servicetype_COVERED THIN,servicetype_FLUID INCLUSIONS,servicetype_Standard,materialtype_Brass,materialtype_Glass,materialtype_Granite,materialtype_Plastic,materialtype_Plexiglass,materialtype_Rubber,materialtype_Steel,materialtype_Stone,materialtype_Vinyl,materialtype_Wood
967.3650286703278,175.1775296997853,15,570.2159493912743,346.711682643047,39,1,22,21,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1021.961668023226,943.4107184786017,15,1185.44668709387,629.9158325433893,81,1,21,22,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
930.5462291325707,206.2182801176913,16,640.8673067545529,366.9845987224936,6,1,20,22,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
438.0032642891279,226.818787745854,16,537.0670633265012,193.0823931203585,77,0,18,18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1314.685203659103,876.3994521394777,17,1283.664443415485,615.2761961960929,40,0,19,18,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
1133.640709819063,328.8593172496096,17,939.4116150833606,413.9846980802542,76,0,20,17,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1150.601651964377,699.3562696789745,18,1170.28249053189,548.1363762496331,6,1,21,22,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
779.9022333502483,835.0531183269022,18,1071.143930451099,533.8578302595062,94,0,20,18,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
296.5265898682625,646.462576117173,19,691.0436446606359,246.9692657043157,3,1,18,21,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1252.030073504621,961.7396891030645,19,1384.682523388376,761.0326778161368,72,0,23,19,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
682.6948739296606,737.9946093347572,19,1091.681534122572,437.2264105258594,14,1,17,22,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1034.597583469608,201.4763589132925,19,556.0383961276572,347.0674381965028,99,0,22,19,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1233.832933635562,602.5690238912919,20,1086.665033432357,562.8532867158164,15,0,23,18,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
1033.34757961161,746.3678734802655,20,1117.979452564238,554.1967577334892,77,0,20,19,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
425.7219439373069,821.7615163361006,20,889.8647125774331,389.2279745666223,13,0,22,20,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
656.1192971216756,123.6892017556824,20,152.1680643352046,268.5008017241403,79,1,21,20,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
982.5920754905521,746.991023744282,21,989.8160148314523,423.583069374156,35,1,17,20,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
816.8317571647294,843.1127389175045,21,1092.568534156663,512.0855651700026,66,1,20,20,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
